fire_name,baer_dnbr_path
COFFEE POT,"baer/organized/COFFEE_POT_2024-08-03/ca3639211876520240803_20240729_20240914_dnbr.tif"
DOME,"baer/organized/DOME_2020-08-15/ca3530111559820200815_20200808_20200902_dnbr.tif"
GEOLOGY,"baer/organized/GEOLOGY_2023-06-10/ca3389711605420230610_20230603_20230619_dnbr.tif"
KNP Complex,"baer/organized/KNP_COMPLEX_2021-09-10/ca3658211879520210912_20210908_20211013_dnbr.tif"
MOJAVE,"baer/organized/MOJAVE_2021-06-17/ca3534311578320210617_20210614_20210624_dnbr.tif"
RATTLESNAKE,"baer/organized/RATTLESNAKE_2020-08-16/ca3642011844820200816_20191103_20201204_dnbr.tif"
REDWOOD,"baer/organized/REDWOOD_2023-08-15/ca4131412396920230815_20230731_20230830_dnbr.tif"
SANTA CRUZ,"baer/organized/SANTA_CRUZ_2018-03-27/ca3399611971520180327_20180315_20180416_dnbr.tif"
SCORPION,"baer/organized/SCORPION_2020-05-31/ca3404211954320200531_20200507_20200608_dnbr.tif"
YORK,"baer/organized/YORK_2023-07-28/ca3528611528620230728_20230714_20230808_dnbr_utm.tif"
