fire_name,date_mode,date_after_fire,r_squared
COFFEE POT,alarm,5,0.0005
COFFEE POT,alarm,10,0.006
COFFEE POT,alarm,15,0.0186
COFFEE POT,alarm,21,0.0306
COFFEE POT,alarm,30,0.0467
COFFEE POT,alarm,45,0.0647
COFFEE POT,alarm,60,0.0033
COFFEE POT,alarm,90,0.0045
COFFEE POT,cont,5,0.3941
COFFEE POT,cont,10,0.0
COFFEE POT,cont,15,0.0
COFFEE POT,cont,21,0.0
COFFEE POT,cont,30,0.0
COFFEE POT,cont,45,0.0
COFFEE POT,cont,60,0.0001
COFFEE POT,cont,90,0.0
DOME,alarm,5,
DOME,alarm,10,
DOME,alarm,15,
DOME,alarm,21,
DOME,alarm,30,
DOME,alarm,45,
DOME,alarm,60,
DOME,alarm,90,
DOME,cont,5,
DOME,cont,10,
DOME,cont,15,
DOME,cont,21,
DOME,cont,30,
DOME,cont,45,
DOME,cont,60,
DOME,cont,90,
GEOLOGY,alarm,5,0.739
GEOLOGY,alarm,10,0.7522
GEOLOGY,alarm,15,0.7502
GEOLOGY,alarm,21,0.7602
GEOLOGY,alarm,30,0.7653
GEOLOGY,alarm,45,0.7642
GEOLOGY,alarm,60,0.7652
GEOLOGY,alarm,90,0.7582
GEOLOGY,cont,5,0.742
GEOLOGY,cont,10,0.7538
GEOLOGY,cont,15,0.7517
GEOLOGY,cont,21,0.7552
GEOLOGY,cont,30,0.7599
GEOLOGY,cont,45,0.758
GEOLOGY,cont,60,0.7594
GEOLOGY,cont,90,0.7537
KNP Complex,alarm,5,
KNP Complex,alarm,10,
KNP Complex,alarm,15,
KNP Complex,alarm,21,
KNP Complex,alarm,30,
KNP Complex,alarm,45,
KNP Complex,alarm,60,
KNP Complex,alarm,90,
KNP Complex,cont,5,
KNP Complex,cont,10,
KNP Complex,cont,15,
KNP Complex,cont,21,
KNP Complex,cont,30,
KNP Complex,cont,45,
KNP Complex,cont,60,
KNP Complex,cont,90,
MOJAVE,alarm,5,0.2535
MOJAVE,alarm,10,0.389
MOJAVE,alarm,15,0.3109
MOJAVE,alarm,21,0.2923
MOJAVE,alarm,30,0.4554
MOJAVE,alarm,45,0.464
MOJAVE,alarm,60,0.4548
MOJAVE,alarm,90,0.44
MOJAVE,cont,5,0.0928
MOJAVE,cont,10,0.084
MOJAVE,cont,15,0.0846
MOJAVE,cont,21,0.0376
MOJAVE,cont,30,0.0283
MOJAVE,cont,45,0.3214
MOJAVE,cont,60,0.3166
MOJAVE,cont,90,0.2463
RATTLESNAKE,alarm,5,0.0075
RATTLESNAKE,alarm,10,0.0
RATTLESNAKE,alarm,15,0.0004
RATTLESNAKE,alarm,21,0.0009
RATTLESNAKE,alarm,30,0.0209
RATTLESNAKE,alarm,45,0.1245
RATTLESNAKE,alarm,60,0.2508
RATTLESNAKE,alarm,90,0.4258
RATTLESNAKE,cont,5,0.0001
RATTLESNAKE,cont,10,0.0005
RATTLESNAKE,cont,15,0.0281
RATTLESNAKE,cont,21,0.0615
RATTLESNAKE,cont,30,0.1792
RATTLESNAKE,cont,45,0.0067
RATTLESNAKE,cont,60,0.0278
RATTLESNAKE,cont,90,0.1567
REDWOOD,alarm,5,
REDWOOD,alarm,10,
REDWOOD,alarm,15,
REDWOOD,alarm,21,
REDWOOD,alarm,30,
REDWOOD,alarm,45,
REDWOOD,alarm,60,
REDWOOD,alarm,90,
REDWOOD,cont,5,
REDWOOD,cont,10,
REDWOOD,cont,15,
REDWOOD,cont,21,
REDWOOD,cont,30,
REDWOOD,cont,45,
REDWOOD,cont,60,
REDWOOD,cont,90,
SANTA CRUZ,alarm,5,0.3509
SANTA CRUZ,alarm,10,0.224
SANTA CRUZ,alarm,15,0.276
SANTA CRUZ,alarm,21,0.4194
SANTA CRUZ,alarm,30,0.6164
SANTA CRUZ,alarm,45,0.5892
SANTA CRUZ,alarm,60,0.489
SANTA CRUZ,alarm,90,0.4352
SANTA CRUZ,cont,5,0.0373
SANTA CRUZ,cont,10,0.0284
SANTA CRUZ,cont,15,0.0234
SANTA CRUZ,cont,21,0.025
SANTA CRUZ,cont,30,0.0343
SANTA CRUZ,cont,45,0.0558
SANTA CRUZ,cont,60,0.0804
SANTA CRUZ,cont,90,0.0871
SCORPION,alarm,5,0.0744
SCORPION,alarm,10,0.0015
SCORPION,alarm,15,0.0909
SCORPION,alarm,21,0.1991
SCORPION,alarm,30,0.0839
SCORPION,alarm,45,0.5889
SCORPION,alarm,60,0.5561
SCORPION,alarm,90,0.6517
SCORPION,cont,5,0.1867
SCORPION,cont,10,0.1448
SCORPION,cont,15,0.6596
SCORPION,cont,21,0.0736
SCORPION,cont,30,0.3887
SCORPION,cont,45,0.5667
SCORPION,cont,60,0.6107
SCORPION,cont,90,0.6349
YORK,alarm,5,
YORK,alarm,10,
YORK,alarm,15,
YORK,alarm,21,
YORK,alarm,30,
YORK,alarm,45,
YORK,alarm,60,
YORK,alarm,90,
YORK,cont,5,
YORK,cont,10,
YORK,cont,15,
YORK,cont,21,
YORK,cont,30,
YORK,cont,45,
YORK,cont,60,
YORK,cont,90,
