fire_event_name,job_id,fire_name,date_mode,post_fire_days,sensor,status,job_status
COFFEE POT_date2024-08-03_range5_modealarm_sensorsentinel-2,9917fe4d-81ad-4442-b4b7-fab0733b7d65,COFFEE POT,alarm,5,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range10_modealarm_sensorsentinel-2,0792c7b9-6b79-4ea3-be07-534bad7a89b9,COFFEE POT,alarm,10,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range15_modealarm_sensorsentinel-2,844ff2ba-bbf0-4fb7-aeb9-134c39107172,COFFEE POT,alarm,15,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range21_modealarm_sensorsentinel-2,cc335bf7-db5b-4e2a-852a-dd926a7601ca,COFFEE POT,alarm,21,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range30_modealarm_sensorsentinel-2,edcc8fee-ef25-4756-af94-bd06fd86a2f6,COFFEE POT,alarm,30,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range45_modealarm_sensorsentinel-2,214a7101-9fd9-45f9-921c-9c26cb616fd7,COFFEE POT,alarm,45,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range5_modealarm_sensorsentinel-2,c6930ec1-05a7-44a6-aeb4-69808b47925d,COFFEE POT,alarm,5,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range10_modealarm_sensorsentinel-2,7b80118b-30b5-4fff-b7af-33808db1eded,COFFEE POT,alarm,10,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range15_modealarm_sensorsentinel-2,f922ed2f-d9b0-4266-a43a-352258672478,COFFEE POT,alarm,15,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range21_modealarm_sensorsentinel-2,c9ec7a41-8303-4841-b83c-01e95c2d8b97,COFFEE POT,alarm,21,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range30_modealarm_sensorsentinel-2,e55be861-b43e-496f-8e31-860f59bbff11,COFFEE POT,alarm,30,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range45_modealarm_sensorsentinel-2,f7f3fce0-d087-465d-8b87-9a3f2df6428c,COFFEE POT,alarm,45,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range60_modealarm_sensorsentinel-2,8318f19d-e8cc-427f-a98b-abe74aa8c810,COFFEE POT,alarm,60,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range90_modealarm_sensorsentinel-2,84ae015b-05b1-4178-bac7-e5a298d8bbf0,COFFEE POT,alarm,90,sentinel-2,success,complete
COFFEE POT_date2024-08-03_range5_modealarm_sensorlandsat,0c43da0b-dbc7-499c-aa76-caa305165439,COFFEE POT,alarm,5,landsat,success,failed
COFFEE POT_date2024-08-03_range10_modealarm_sensorlandsat,6543ba35-4afe-4bdf-be32-5533561303ef,COFFEE POT,alarm,10,landsat,success,failed
COFFEE POT_date2024-08-03_range15_modealarm_sensorlandsat,087725d0-0b9c-4df2-a68c-4b2980f7901f,COFFEE POT,alarm,15,landsat,success,failed
COFFEE POT_date2024-08-03_range21_modealarm_sensorlandsat,11b865b6-4fa4-4551-9099-c4e4fa690afc,COFFEE POT,alarm,21,landsat,success,failed
COFFEE POT_date2024-08-03_range30_modealarm_sensorlandsat,7245eddd-cbae-4828-b651-56afe63165d9,COFFEE POT,alarm,30,landsat,success,failed
COFFEE POT_date2024-08-03_range45_modealarm_sensorlandsat,dc587dc3-b7cc-4fb2-8880-79ae49920be5,COFFEE POT,alarm,45,landsat,success,failed
COFFEE POT_date2024-08-03_range60_modealarm_sensorlandsat,69b30d1c-b658-4ff4-847b-ecf1de121e98,COFFEE POT,alarm,60,landsat,success,failed
COFFEE POT_date2024-08-03_range90_modealarm_sensorlandsat,d2ab26d8-d08a-4256-b98f-e8e9508a6caa,COFFEE POT,alarm,90,landsat,success,failed
COFFEE POT_date2024-12-16_range5_modecont_sensorsentinel-2,6d59a109-11b2-4dac-890c-3e097a99869d,COFFEE POT,cont,5,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range10_modecont_sensorsentinel-2,e200d1a9-c756-4ef1-8e99-69e1562bf38d,COFFEE POT,cont,10,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range15_modecont_sensorsentinel-2,0634b8f6-353e-47be-b7d6-2afac64c41b3,COFFEE POT,cont,15,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range21_modecont_sensorsentinel-2,5adf4f7b-eb60-4a74-b784-f338515c4303,COFFEE POT,cont,21,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range30_modecont_sensorsentinel-2,9ed509a6-9a7a-4342-8e4e-7677ea6aa279,COFFEE POT,cont,30,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range45_modecont_sensorsentinel-2,7bc06fd6-cc48-4b9e-8e93-c4cef9c0bbc7,COFFEE POT,cont,45,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range60_modecont_sensorsentinel-2,1cb1b3ec-f777-44aa-aeea-769abdec1360,COFFEE POT,cont,60,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range90_modecont_sensorsentinel-2,a0c954b9-5ceb-48ae-b190-ccac794b83ba,COFFEE POT,cont,90,sentinel-2,success,complete
COFFEE POT_date2024-12-16_range5_modecont_sensorlandsat,8034836c-545f-4311-bbf0-9cf6152b5459,COFFEE POT,cont,5,landsat,success,failed
COFFEE POT_date2024-12-16_range10_modecont_sensorlandsat,df8a4b47-fbfc-4e3d-abf8-21dd78dd82e6,COFFEE POT,cont,10,landsat,success,failed
COFFEE POT_date2024-12-16_range15_modecont_sensorlandsat,306c1f6e-07a8-4c8c-b6a7-dfdc1dff7a6c,COFFEE POT,cont,15,landsat,success,failed
